goodreads_book_id,tag_name,tag_length
1,"fantasy, young_adult, fiction, harry_potter, series, magic, childrens, adventure, child, rowling, child, sci_fantasy, childhood, all_time, classic, star, kid, novel, fantasy_sci, middle_grade, paranormal, fantasy, teen, witch, english, urban_fantasy, british, rowling, supernatural, mystery",290
2,"fantasy, child, child, all_time, fiction, young_adult, novel, kid, fantasy_sci, harry_potter, paranormal, fantasy, teen, witch, urban_fantasy, british, rowling, supernatural, fiction, mystery, harry_potter_series, novel, audio, young_adult_fiction, wizard, faves, scifi_fantasy, youth, series, shelfari",302
3,"fantasy, young_adult, fiction, harry_potter, series, magic, childrens, child, adventure, classic, child, childhood, middle_grade, rowling, all_time, sci_fantasy, kid, novel, star, paranormal, fantasy_sci, english, fantasy, witch, british, teen, urban_fantasy, mystery, audio, series",282
5,"fantasy, young_adult, fiction, harry_potter, series, magic, childrens, adventure, child, rowling, child, childhood, all_time, sci_fantasy, middle_grade, classic, star, kid, novel, fantasy_sci, paranormal, fantasy, english, witch, urban_fantasy, british, teen, rowling, mystery, supernatural",290
6,"fantasy, young_adult, fiction, harry_potter, series, childrens, adventure, child, rowling, child, sci_fantasy, all_time, classic, star, middle_grade, kid, novel, fantasy_sci, paranormal, fantasy, dragon, teen, urban_fantasy, witch, english, british, rowling, mystery, supernatural, harry_potter_series",301
8,"fantasy, harry_potter, young_adult, fiction, magic, series, rowling, supernatural, adventure, child, childrens, childhood, shelfari, sci_fantasy, classic, novel, paranormal, witch, urban_fantasy, buy, all_time, teen, mystery, wizard, loved, box_set, child, star, middle_grade, rowling",284
10,"fantasy, fiction, harry_potter, young_adult, magic, series, childrens, adventure, child, shelfari, fantasy_sci, rowling, classic, rowling, harrypotter, child, all_time, witch, wizard, favs, sci_fantasy, childhood, kid, teen, english, childhood, fantasy_fiction, love, paranormal, faves",285
11,"science_fiction, sci, fiction, humor, fantasy, classic, scifi, comedy, humour, sci_fantasy, series, funny, adventure, classic, fantasy_sci, novel, adult, scifi_fantasy, buy, british, audio, douglas_adam, young_adult, science_fiction_fantasy, space, english, adult_fiction, alien, satire, novel",293
13,"science_fiction, sci, fiction, humor, fantasy, classic, scifi, comedy, sci_fantasy, humour, series, funny, adventure, novel, scifi_fantasy, fantasy_sci, buy, classic, douglas_adam, english, science, british, all_time, science_fiction_fantasy, literature, space, adult, shelfari, speculative_fiction, fantasy_scifi",313
21,"history, nonfiction, non_fiction, science, humor, buy, popular_science, physic, audio, historical, philosophy, reference, abandoned, humour, unfinished, audible, english, biology, wish_list, travel, non_fic, nature, astronomy, hold, evolution, educational, adult, did_not_finish, funny, natural_history",302
24,"travel, non_fiction, nonfiction, humor, australia, memoir, humour, audio, history, bill_bryson, memoir, travel_writing, adventure, funny, biography, travelogue, comedy, travel_adventure, australian, adult, wanderlust, nature, fiction, biography_memoir, audible, abandoned, memoir_biography, adventure_travel, bryson, humorous",325
25,"humor, nonfiction, memoir, essay, non_fiction, biography, memoir, travel, funny, america, humour, travel_writing, comedy, autobiography, usa, audio, history, bryson, biography_memoir, short_story, culture, fiction, adult, social, united_state, abandoned, travelogue, memoir_biography, humorous, writing",302
26,"travel, non_fiction, nonfiction, humor, memoir, humour, bill_bryson, travel_writing, memoir, america, biography, funny, essay, comedy, usa, travelogue, american, buy, americana, audio, adventure, bryson, biography_memoir, road_trip, fiction, history, abandoned, autobiography, english, contemporary",298
27,"travel, non_fiction, nonfiction, humor, memoir, humour, europe, bill_bryson, travel_writing, biography, memoir, funny, comedy, travelogue, essay, history, buy, audio, wanderlust, adventure, adult, bryson, travelogue, biography_memoir, travel_literature, travel_adventure, american, autobiography, fiction, english",313
28,"travel, non_fiction, nonfiction, humor, memoir, humour, england, travel_writing, biography, bill_bryson, memoir, funny, britain, british, comedy, essay, travelogue, audio, history, biography_memoir, fiction, europe, abandoned, autobiography, english, adult, bryson, contemporary, culture, travel_adventure",305
29,"non_fiction, humor, nonfiction, history, language, linguistics, bill_bryson, historical, non_fic, adult, funny, buy, english, english_language, audio, did_not_finish, writing, culture, etymology, reference, education, language, nonfiction_language, wish_list, century, borrowed, humour, anthropology, other_non_fiction, word",324
30,"fiction, classic, fantasy, series, sci_fantasy, adventure, epic_fantasy, young_adult, tolkien, high_fantasy, classic, fantasy_sci, magic, all_time, lord_the_ring, epic, scifi_fantasy, buy, sci, classic_literature, science_fiction, fantasy_scifi, childhood, novel, science_fiction_fantasy, adult, jrr_tolkien, middle_earth, adult_fiction, mythology",347
33,"fantasy, classic, fiction, classic, tolkien, adventure, sci_fantasy, series, epic_fantasy, literature, high_fantasy, fantasy_sci, novel, young_adult, all_time, epic, scifi_fantasy, magic, british, sci, science_fiction_fantasy, tolkien, fantasy_scifi, science_fiction, english, buy, shelfari, novel, middle_earth, adult",318
34,"fantasy, classic, fiction, classic, adventure, series, sci_fantasy, tolkien, epic_fantasy, high_fantasy, young_adult, magic, novel, literature, tolkien, epic, adult, lord_the_ring, all_time, science_fiction, sci, adult_fiction, science_fiction_fantasy, novel, british, fantasy_scifi, middle_earth, english, series, buy",318
36,"fantasy, tolkien, art, non_fiction, fiction, middle_earth, reference, movie, lord_the_ring, lotr, film, nonfiction, tolkien_related, adult, war, movie, medium_tie, tolkien, buy, science_fiction_fantasy, other, entertainment, tolkien_middle_earth, lord, series, sci_fantasy, scifi_fantasy, have, home, need_buy",309
50,"young_adult, fiction, adventure, classic, survival, childrens, realistic_fiction, school, childhood, child, middle_grade, child, kid, series, childhood, newbery, classic, for_school, juvenile, middle_school, teen, coming_age, hatchet, youth, child_lit, novel, child_literature, fiction, juvenile_fiction, newbery_honor",318
67,"historical_fiction, pulitzer, fiction, pulitzer_prize, african_american, slavery, historical, history, literature, pulitzer_prize_winner, literary_fiction, novel, pulitzer_winner, pulitzer, abandoned, pulitzer_fiction, novel, american, southern, pulitzer_prize_fiction, adult_fiction, pulitzer_prize_winner, race, buy, contemporary_fiction, award_winner, american_lit, couldn_finish, pulitzer_winner, contemporary",413
93,"classic, childrens, fiction, child, classic, child, childhood, young_adult, kid, historical_fiction, childhood, child_literature, historical, middle_grade, child_lit, juvenile, switzerland, child_classic, century, youth, childhood, childrens_literature, classic_literature, literature, childrens_classic, german, childrens_lit, novel, family, child_fiction",356
